conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c98c8578-6654-4d76-8391-ecfe59abce22,skill/competence,transversal,ymmärtää kirjoitettua tanskaa,released,,Lukea ja ymmärtää tanskaksi kirjoitettuja tekstejä.,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,tanska
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c9ba0570-f751-4023-9851-5a0826e722cc,skill/competence,transversal,viestiä suullisesti jaavaksi,released,puhua jaavaa,Puhua jaavan kieltä.,http://data.europa.eu/esco/skill/7a86907d-1fd5-4e8f-b0f1-f366a14f6f6d,jaava
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ca58a2d3-b901-42b2-b85f-b2b83aeadbea,skill/competence,transversal,ymmärtää kirjoitettua venäjää,released,,Lukea ja ymmärtää venäjänkielisiä tekstejä.,http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165,venäjä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ca81a475-f76c-4318-bdd7-4f1f3605e798,skill/competence,transversal,kirjoittaa italiaa,released,,Kirjoittaa tekstejä italiaksi.,http://data.europa.eu/esco/skill/87219dfe-a21c-4160-8cc8-1eabf9b16b44,italia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/caac02b1-ab96-477e-a7a7-295c9d9e037f,skill/competence,transversal,viestiä suullisesti jiddišiksi,released,puhua jiddišiä,Puhua jiddišiä.,http://data.europa.eu/esco/skill/d59ef10f-ad20-4791-957d-b315196ecdc2,jiddiš
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cad4f44b-28a8-4448-86e5-7389e5ebf3eb,knowledge,transversal,hollanti,released,,Hollannin kieli. Hollanti on EU:n virallinen kieli ja työkieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,knowledge,transversal,malta,released,,Maltan kieli. Malta on EU:n virallinen kieli ja työkieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cba8e108-dd50-43ab-8100-13690408a69c,skill/competence,transversal,ymmärtää kirjoitettua oksitaania,released,ymmärtää kirjoitettua provensaalia,Lukea ja ymmärtää oksitaaninkielisiä tekstejä.,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,oksitaani
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cd6484a2-bfa2-4371-8e2f-1ffa2a22dac4,skill/competence,transversal,ymmärtää puhuttua ruotsia,released,,Ymmärtää ruotsinkielistä puhetta.,http://data.europa.eu/esco/skill/7ee51257-8947-4b69-9bdf-322baf0a6398,ruotsi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cda53197-9c99-404a-ac8a-d8c8550ca98d,skill/competence,transversal,viestiä suullisesti ukrainaksi,released,puhua ukrainaa,Puhua ukrainan kielellä.,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,ukraina
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cec6cd92-d709-42cc-9a6e-6a7dd48b9e08,skill/competence,transversal,kirjoittaa espanjaa,released,,Laatia kirjallisia tekstejä espanjaksi.,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,espanja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cf5b3ca0-a844-42b9-b9cd-bd15465b9cac,knowledge,transversal,limburgi,released,,Limburgin kieli.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,osata kieliä | kielet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cf9e867f-08d7-48a8-8d11-c63bd8a65f89,skill/competence,transversal,kirjoittaa arabiaa,released,,Laatia kirjallisia tekstejä arabiaksi.,http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,arabia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d0898934-7335-480f-a986-b9b05b54c718,skill/competence,transversal,ymmärtää puhuttua venäjää,released,,Ymmärtää venäjänkielistä puhetta.,http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165,venäjä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d10fe458-ceb5-4a40-83f4-b8ef318bf566,skill/competence,transversal,kirjoittaa jiddišiä,released,,Laatia kirjallisia tekstejä jiddišiksi.,http://data.europa.eu/esco/skill/d59ef10f-ad20-4791-957d-b315196ecdc2,jiddiš
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d16bc537-ede5-440e-a921-7e9c5e995633,skill/competence,transversal,ymmärtää kirjoitettua kiinaa,released,,Lukea ja ymmärtää kiinankielisiä tekstejä.,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,kiina
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d21bcba8-ecf5-4ac3-9a6c-25a5afa42ea2,skill/competence,transversal,kirjoittaa baskia,released,,Laatia kirjallisia tekstejä baskiksi.,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,baski
