conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/772a9c72-abef-4333-9788-f4cb48ad8e08,määrittää varastonhallintaohjelmisto,released,skill/competence,cross-sector,,"Määrittää relevantit varastonhallintajärjestelmissä käytetyt ohjelmistot ja sovellukset, niiden ominaisuudet ja niiden varastonhallintaan tuoma arvo.
   ",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,käyttää digitaalisia välineitä yhteistyössä ja tuottavuudessa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/77592603-505b-4096-97dd-d0def6bd7601,laskennallinen virtausdynamiikka,released,knowledge,cross-sector,virtauslaskenta | numeerinen virtausdynamiikka | CFD-laskenta,"Tietokoneella käsitellyn väliainemekaniikan periaatteet, joiden mukaisesti väliaineet käyttäytyvät liikkeessä. ",http://data.europa.eu/esco/isced-f/0611 | http://data.europa.eu/esco/skill/87b1c959-236d-4761-b3be-b1c729497f75,tietotekniikan käyttö | nestemekaniikka
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/778ca7ad-6c5d-4868-9b96-a7777dca799c,ICT-ohjealustat,released,knowledge,sector-specific,,Alustat ohjejärjestelmien toimittamiseksi käyttöjärjestelmille.,http://data.europa.eu/esco/isced-f/0611,tietotekniikan käyttö
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/77bf865e-6360-424f-9d77-ce03918c7dcf,suunnitella piirilevyjä,released,skill/competence,cross-sector,,"Suunnitella piirilevyjä, joita käytetään elektroniikkatuotteissa, kuten matkapuhelimissa ja tietokoneissa. Varmistaa, että mikropiirit ja -sirut on merkitty suunnitelmaan.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,suunnitella sähkö- tai elektroniikkajärjestelmiä tai -laitteita
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42,ICT-tietoturvalainsäädäntö,released,knowledge,sector-specific,ICT-laki | ict-laki | ict-tietoturvalainsäädäntö | verkon ja tietoturvan lainsäädäntö | kyberturvallisuuslainsäädäntö | tietokoneen käyttöön liittyvät juridiset seikat | verkko- ja tietoturvalainsäädäntö,"Säädökset, joilla turvataan tietotekniikka, tieto- ja viestintätekniset verkot ja tietokonejärjestelmät sekä niiden väärinkäytöstä johtuvat oikeudelliset seuraukset. Säänneltyihin toimenpiteisiin kuuluvat muun muassa palomuurit, tunkeutumisen havaitseminen, virustorjuntaohjelmistot ja salaus.",http://data.europa.eu/esco/isced-f/0421,oikeustieteet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/78a74fd1-efc6-49dc-adb1-1b0fbe35c22c,tarjota ohjelmiston testauksen dokumentointia,released,skill/competence,sector-specific,,"Kuvailla teknisen ryhmän käyttöön tarkoitettuja ohjelmistotestausmenettelyjä ja analyysien tuloksia, kun tiedotetaan käyttäjille ja asiakkaille ohjelmien tilanteesta ja tehokkuudesta.",http://data.europa.eu/esco/skill/385479b7-5da5-4367-9763-0d15b41bb65b | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe | http://data.europa.eu/esco/skill/2636b3d3-843e-46a9-8b4c-a9d6ca3f5a2d,tarjota käyttäjädokumentaatiota | harjoittaa teknistä tai akateemista kirjoittamista | huolehtia dokumentoinnista
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/78b26c92-da70-4c72-9f10-7a8c8b9db02e,käyttää internetiä myynnin kasvattamiseen,released,skill/competence,sector-specific,,"Kasvattaa tavaroiden ja palvelujen myyntiä internetin avulla, käyttämällä esimerkiksi verkko- tai mobiilikauppaa ja sosiaalista mediaa.",http://data.europa.eu/esco/skill/efb60300-0d55-4b2c-8038-8409587a4727,"edistää tuotteiden, palvelujen tai ohjelmien myyntiä"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7957b5f9-1f33-4ff8-84e9-e258b17882c2,testata mikroelektroniikkaa,released,skill/competence,sector-specific,,Testata mikroelektroniikka asianmukaisia laitteita käyttäen. Kerätä ja analysoida tietoja. Seurata ja arvioida järjestelmän suorituskykyä ja ryhtyä tarvittaessa toimiin.,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d | http://data.europa.eu/esco/skill/87a6436a-c83f-4afe-a93a-d807a988e0ec | http://data.europa.eu/esco/skill/465ff64a-1271-4064-8ed1-e969cb68d8b4,ajatella kriittisesti | asentaa puu- ja metalliosia | huoltaa mikroelektroniikkaa | suorittaa koekäyttöjä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7961413f-61d0-4722-9cd9-20a050a29899,suorittaa ohjelmistoyksikköjen testausta,released,skill/competence,sector-specific,,"Testata yksittäisiä lähdekoodiyksikköjä luomalla lyhyitä koodifragmentteja sen määrittämiseksi, ovatko ne sopivia käytettäväksi.",http://data.europa.eu/esco/skill/5d74614d-32c8-4ca4-9818-6980e52424b1 | http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7 | http://data.europa.eu/esco/skill/913e7e83-b8f8-4574-b1ca-1b38f3fd974a,suunnitella ohjelmistotestaus | ohjelmoida tietokonejärjestelmiä | suorittaa ohjelmistotestejä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/797a4416-0b8d-44f3-8fcd-eb10bd0be6b4,kehittää ohjelmiston prototyyppi,released,skill/competence,sector-specific,kehittää ohjelmistoprototyyppi | kehittää ohjelmiston ensimmäinen alustava versio | kehittää koeversio ohjelmistosta | kehittää ohjelmiston koeversio | kehittää prototyyppi ohjelmistosta | kehittää sovelluksen prototyyppi,"Luoda ohjelmistosovelluksen ensimmäinen epätäydellinen tai alustava versio, jolla simuloidaan lopputuotteen tiettyjä ominaisuuksia.",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,ohjelmoida tietokonejärjestelmiä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/79a5bc25-5b59-47bc-a4c2-fb8e8cb1ddf6,älyverkkojärjestelmät,released,knowledge,sector-specific,,"Älyverkot muodostavat digitaalisen sähköverkon. Järjestelmään liittyvät sähkön tuotannon, jakelun ja käytön sähköinen digitaalinen hallinta, komponenttien tiedonhallinta ja energiansäästö.
	",http://data.europa.eu/esco/isced-f/0713,sähkö ja energia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/79c366d4-0316-4838-b72e-c3be4f90fbd3,käyttää viestintälaitteita,released,skill/competence,cross-sector,,"Käyttää viestintälaitteita asiakkaiden, kollegojen ja muiden kanssa kommunikointiin.",http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,käyttää viestintälaitteita
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/79e29b8b-47d1-470d-b7b1-32506bfe7d9a,kerätä ICT-tietoja,released,skill/competence,cross-sector,,Kerätä tietoja suunnittelemalla ja soveltamalla haku- ja näytteenottomenetelmiä.,http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79 | http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39,kerätä tietoja | koota tietoa fyysisistä tai sähköisistä lähteistä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a6b4549-cd3e-46c7-8a40-9096520dff84,muokata vaatesuunnitelmia,released,skill/competence,sector-specific,,"Muokata luonnoksia ja digitaalisia tekstiilisuunnitelmia, kunnes ne täyttävät asiakkaiden vaatimukset.",http://data.europa.eu/esco/skill/8542b62b-18b1-4c7f-9d4e-e717c10fbd72 | http://data.europa.eu/esco/skill/883eab8c-d8a6-4e8b-9b11-7d9001e172ab,tehdä tekstiilisuunnitelmia | suunnitella järjestelmiä ja tuotteita
